,hour,day_of_week,casualties,accident_cause,vehicles_involved,vehicle_type,driver_age,accident_area,driving_experience,lanes
0,7,6,0,0,1,0,1,5,0,4
1,6,6,0,16,1,14,1,5,4,2
2,6,3,0,3,1,7,4,5,0,2
3,4,2,0,1,1,9,1,5,2,4
4,11,5,5,12,3,0,3,0,1,2
5,16,6,0,15,0,11,0,5,3,0
6,16,5,0,10,1,10,4,8,2,2
7,15,2,1,3,1,5,0,4,0,2
8,7,1,0,12,1,9,1,4,2,2
9,8,4,1,10,1,5,0,4,2,4
10,9,5,0,11,4,7,4,6,2,4
11,17,0,0,12,1,0,1,7,0,4
12,10,4,0,11,1,11,2,4,1,2
13,20,6,1,16,1,0,3,4,3,0
14,10,1,1,9,2,0,0,7,2,1
15,15,4,1,0,1,3,1,5,0,4
16,9,5,0,1,4,0,4,1,4,1
17,11,5,0,13,1,11,0,4,3,4
18,13,2,3,10,2,8,1,0,2,4
19,12,6,2,14,1,5,0,4,4,4
20,16,4,0,1,1,5,0,4,2,5
21,11,1,0,1,0,11,0,8,1,2
22,21,4,0,11,1,5,1,5,1,2
23,17,5,0,11,0,10,0,4,2,4
24,11,5,0,0,1,5,3,5,2,4
25,8,4,1,3,1,0,2,4,4,2
26,13,0,1,10,1,7,0,4,5,2
27,20,2,1,19,2,7,0,4,2,2
28,9,3,0,1,1,0,1,5,3,4
29,20,5,0,9,0,5,0,4,1,2
30,9,1,0,16,1,0,1,5,0,2
31,9,0,0,0,1,3,1,0,1,6
32,11,0,0,0,2,13,1,4,2,4
33,8,3,0,10,1,0,1,7,2,2
34,17,5,0,3,1,3,0,4,3,4
35,14,6,0,3,1,3,2,4,0,2
36,16,6,0,3,1,0,0,4,3,2
37,18,0,0,12,1,5,4,4,2,6
38,13,2,0,1,1,5,1,9,2,4
39,18,5,0,10,1,0,0,5,1,4
40,8,1,0,16,1,9,4,4,0,6
41,15,0,0,3,0,14,1,4,2,2
42,11,1,2,10,1,11,0,2,1,0
43,17,6,0,10,1,0,1,4,0,6
44,21,4,0,10,0,7,1,4,0,2
45,8,3,0,4,1,0,1,11,2,4
46,18,5,3,10,1,11,3,5,2,4
47,15,5,0,3,1,0,1,5,1,6
48,10,0,1,10,1,7,0,5,5,4
49,23,0,2,10,1,5,0,5,1,1
50,16,1,2,16,1,14,0,5,2,1
51,9,0,0,9,0,5,1,8,2,4
52,17,3,0,10,1,5,1,4,2,6
53,21,4,1,9,1,10,3,4,1,6
54,11,6,0,10,1,0,0,5,0,2
55,20,3,0,12,1,7,1,8,2,6
56,12,2,0,3,1,9,0,7,2,2
57,14,1,0,1,1,0,0,2,0,4
58,14,1,0,1,0,0,1,5,1,2
59,12,4,0,1,1,7,0,8,2,2
60,13,3,0,11,1,5,2,4,0,0
61,10,4,0,14,3,0,2,4,3,1
62,15,5,0,0,0,5,1,5,3,2
63,7,0,0,0,1,7,1,5,0,4
64,17,5,0,5,1,8,0,4,4,4
65,9,6,1,10,1,14,1,1,0,4
66,22,1,0,11,1,5,0,7,1,4
67,16,0,0,0,1,9,0,4,2,2
68,20,5,3,3,1,5,2,7,1,1
69,9,6,0,3,1,0,2,4,2,4
70,19,3,1,1,1,4,0,3,2,4
71,8,0,0,1,0,5,0,4,4,2
72,20,1,1,10,1,14,0,4,4,2
73,17,0,0,10,1,7,0,5,1,2
74,9,3,0,11,1,0,2,5,5,6
75,13,0,0,12,1,7,1,4,1,1
76,17,1,0,0,1,15,4,4,2,4
77,23,0,0,1,1,5,3,5,4,2
78,2,4,0,9,1,5,1,5,4,4
79,10,4,0,10,3,1,1,11,1,6
80,19,4,0,12,1,1,0,5,4,4
81,19,0,1,10,1,0,0,8,1,4
82,7,2,0,2,1,7,0,5,1,2
83,16,2,0,11,0,9,1,4,4,2
84,12,3,1,2,1,0,4,8,4,4
85,16,6,0,3,1,14,0,5,3,4
86,16,6,1,11,2,7,0,8,3,2
87,3,1,0,13,1,5,0,5,3,2
88,10,4,0,7,1,0,4,2,2,4
89,7,0,0,1,1,5,0,8,2,4
90,9,6,0,8,1,0,1,4,2,2
91,14,0,0,17,1,4,4,2,4,4
92,12,3,1,5,1,11,1,8,2,4
93,15,3,0,10,1,0,1,5,0,2
94,14,5,2,10,1,15,1,4,3,4
95,13,3,0,0,1,14,0,8,0,0
96,8,4,0,10,1,14,2,8,2,4
97,8,6,0,0,0,7,0,5,1,1
98,19,5,2,12,1,0,0,6,1,2
99,17,0,0,12,2,0,0,5,3,2
100,22,3,0,9,1,9,0,5,2,0
101,17,5,0,1,0,0,2,8,0,6
102,20,0,1,13,1,0,2,8,4,4
103,8,5,0,10,1,8,3,4,4,4
104,16,0,0,3,1,7,0,4,0,1
105,10,4,1,5,1,0,2,5,1,1
106,16,5,0,10,0,7,3,8,0,2
107,18,2,0,1,1,0,1,7,3,2
108,8,3,0,13,1,0,1,4,3,4
109,16,2,0,9,2,4,1,5,2,4
110,8,1,1,4,2,0,2,5,0,6
111,7,1,0,4,1,14,1,5,1,4
112,19,0,0,3,1,10,0,5,1,2
113,21,4,1,1,1,7,0,4,0,2
114,15,0,1,12,1,5,2,4,2,4
115,16,1,0,9,0,0,0,4,2,2
116,20,3,0,11,1,5,1,11,3,2
117,20,3,1,13,1,8,0,2,1,4
118,17,5,0,10,1,0,1,5,2,4
119,10,6,0,1,0,4,1,5,1,2
120,8,0,4,1,2,6,1,5,3,2
121,21,6,1,0,0,7,1,8,3,2
122,16,1,0,12,1,3,1,8,0,4
123,10,3,0,4,1,14,0,0,3,6
124,17,4,2,2,1,5,0,5,2,4
125,20,6,1,13,1,0,1,4,4,6
126,5,0,0,9,1,7,1,5,3,2
127,21,3,0,12,1,0,0,5,2,2
128,18,5,0,7,1,0,0,5,0,6
129,21,4,0,10,1,0,4,5,1,2
130,7,4,0,0,1,0,2,4,2,2
131,22,1,0,12,1,4,0,4,2,1
132,17,5,0,2,0,0,3,8,4,2
133,14,0,0,2,1,14,0,5,0,1
134,11,4,0,9,1,8,0,5,2,2
135,13,2,0,10,0,0,0,4,0,2
136,22,5,0,10,5,9,4,11,1,6
137,21,2,0,0,0,14,4,7,3,6
138,14,3,0,7,0,0,3,8,2,2
139,18,4,0,10,0,10,1,4,1,6
140,13,3,3,3,1,0,3,5,1,2
141,14,1,0,0,1,14,2,4,2,1
142,23,0,0,1,0,5,0,4,2,2
143,16,6,0,5,1,0,2,4,1,2
144,20,0,0,4,3,0,4,8,1,2
145,9,1,0,1,1,3,0,5,2,2
146,9,1,1,12,1,4,4,4,0,1
147,22,5,1,12,1,7,0,4,4,2
148,18,6,0,16,1,0,0,0,0,2
149,17,6,0,1,1,8,3,4,2,2
150,22,4,0,3,1,11,0,5,2,0
151,6,0,0,0,1,0,2,8,2,2
152,17,5,0,12,1,7,0,4,2,1
153,7,4,0,12,1,5,1,8,2,4
154,3,2,1,5,1,5,0,5,1,4
155,11,0,0,4,1,14,4,8,0,6
156,19,5,0,1,1,5,2,5,0,2
157,8,5,1,16,2,0,0,8,0,4
158,18,5,0,10,1,8,0,4,0,4
159,22,4,0,9,1,3,1,0,5,4
160,14,5,0,2,3,11,1,8,1,2
161,20,1,0,12,1,7,0,7,0,6
162,10,1,0,1,1,5,2,4,1,2
163,2,5,0,0,1,9,1,5,1,2
164,17,2,1,12,1,0,4,5,3,4
165,19,5,0,1,1,0,1,8,1,4
166,12,4,1,10,1,4,0,4,1,4
167,18,0,0,10,1,0,1,8,0,6
168,8,4,0,11,2,5,3,0,2,2
169,23,4,3,3,0,7,3,4,2,2
170,6,6,0,16,0,6,0,8,3,6
171,18,3,0,13,1,0,1,5,3,4
172,9,6,0,1,1,7,1,6,0,2
173,10,6,0,1,1,0,4,5,1,4
174,20,1,0,10,1,0,0,8,1,6
175,7,6,0,10,1,14,0,5,2,2
176,22,2,5,1,2,0,0,5,2,2
177,14,0,0,10,2,5,1,8,4,6
178,13,3,0,1,1,0,2,4,3,4
179,18,0,0,2,1,11,4,4,1,2
180,16,1,0,10,1,9,0,5,2,2
181,19,5,0,10,2,8,2,4,2,0
182,1,5,0,4,1,5,3,5,2,2
183,16,2,0,1,2,5,1,8,2,2
184,16,2,1,0,1,10,1,4,3,2
185,19,4,0,0,0,8,4,4,2,4
186,13,3,0,0,0,0,0,6,2,4
187,11,2,0,10,1,0,2,5,4,2
188,18,5,1,1,1,0,1,4,2,6
189,19,1,0,10,1,9,1,0,1,4
190,16,6,0,1,1,14,2,5,4,6
191,22,5,0,16,1,10,2,2,0,1
192,21,2,0,1,2,9,4,11,0,6
193,17,0,2,10,1,4,1,5,1,2
194,20,2,1,10,1,0,1,4,2,6
195,16,0,0,13,1,0,1,5,2,2
196,20,3,5,0,1,7,2,4,2,4
197,8,1,0,0,1,0,0,4,4,2
198,13,5,0,3,1,4,0,2,0,4
199,20,4,0,3,1,7,1,0,0,3
200,8,6,0,5,1,10,0,4,4,2
201,11,3,0,4,1,5,0,5,0,0
202,20,0,1,16,1,5,2,5,2,4
203,18,4,0,3,1,0,4,8,3,0
204,19,3,0,4,1,0,0,5,3,4
205,7,5,0,0,1,12,1,11,2,2
206,6,0,0,10,1,7,1,4,3,4
207,19,5,0,0,1,0,1,5,2,2
208,20,4,1,9,2,5,0,8,3,1
209,16,6,1,1,1,3,0,4,2,1
210,17,0,0,3,0,7,1,8,2,2
211,20,5,0,0,1,0,0,4,1,4
212,23,2,4,10,2,0,3,5,0,3
213,16,5,0,12,1,5,2,4,3,2
214,15,6,0,0,1,12,0,8,4,2
215,14,0,0,0,1,10,1,5,2,4
216,7,6,0,0,1,11,1,5,1,6
217,16,5,0,16,0,5,1,4,1,0
218,16,0,0,1,1,12,0,8,0,6
219,18,4,0,12,2,0,0,4,1,4
220,9,4,0,1,1,0,1,4,1,4
221,17,0,0,1,1,4,4,4,0,4
222,8,0,0,10,1,14,2,5,4,2
223,18,2,0,0,0,0,1,5,2,1
224,8,5,0,4,2,4,4,8,1,4
225,20,5,2,16,2,5,0,9,0,4
226,16,4,0,12,1,7,4,4,2,0
227,16,4,0,11,0,5,0,4,2,2
228,12,2,0,16,0,0,2,5,2,4
229,10,4,0,0,1,8,0,8,3,2
230,11,2,2,1,1,7,0,4,2,1
231,14,2,0,0,1,3,2,6,2,2
232,16,5,0,10,0,10,0,4,1,0
233,21,3,0,1,1,9,2,4,4,0
234,11,6,0,3,1,9,1,8,3,6
235,17,0,0,10,1,5,4,5,1,2
236,1,2,0,0,2,0,4,0,1,2
237,16,2,0,0,1,5,0,8,4,4
238,11,2,0,10,1,15,1,8,1,4
239,17,2,0,1,1,7,1,0,2,3
240,8,4,0,3,1,3,0,5,3,0
241,16,5,0,10,0,5,1,8,1,2
242,21,2,2,9,1,5,1,4,4,0
243,16,6,0,10,0,4,4,4,0,1
244,14,2,0,0,1,0,1,5,1,4
245,23,4,0,16,1,7,0,8,1,0
246,22,0,1,5,0,3,1,3,1,6
247,12,3,0,2,1,8,0,11,2,2
248,18,0,0,3,1,10,0,8,3,4
249,8,4,0,0,1,0,1,5,1,2
250,19,0,0,10,1,0,0,7,4,2
251,4,1,0,12,1,5,1,5,0,4
252,12,5,0,1,1,5,4,7,2,4
253,13,3,1,10,1,0,1,11,0,4
254,19,0,0,12,2,7,0,4,1,4
255,11,4,0,2,0,11,1,0,1,2
256,18,5,0,10,1,0,2,5,3,2
257,3,3,0,12,1,0,0,5,3,6
258,19,1,2,0,1,0,2,5,1,2
259,20,5,0,10,1,3,1,4,2,2
260,15,3,0,9,1,7,1,4,1,4
261,19,3,0,9,1,8,1,5,2,4
262,0,6,3,11,1,0,3,4,0,2
263,22,4,0,4,1,9,1,5,0,2
264,4,2,0,2,0,7,1,8,0,2
265,20,6,0,10,1,5,3,8,2,6
266,8,6,0,10,2,5,4,5,2,2
267,8,5,0,12,0,14,0,5,1,2
268,9,2,0,1,1,7,0,0,2,2
269,19,5,0,1,1,0,4,2,0,4
270,16,5,0,3,1,5,4,5,2,1
271,11,0,0,9,1,5,1,5,2,2
272,17,3,4,3,3,15,3,0,2,6
273,6,0,0,12,1,15,1,4,2,0
274,9,1,0,13,1,0,2,4,1,0
275,12,0,1,16,1,5,3,5,4,1
276,8,0,0,1,1,0,1,5,3,2
277,18,5,0,9,1,10,0,8,1,2
278,14,2,1,1,3,0,1,4,2,2
279,11,0,0,11,0,15,2,5,3,6
280,18,6,0,12,1,9,4,5,0,4
281,15,1,0,10,1,5,2,4,3,2
282,7,1,0,13,1,11,0,2,2,1
283,21,6,0,0,2,0,4,5,2,2
284,18,5,0,9,2,16,1,8,2,2
285,0,2,1,12,1,8,1,4,0,2
286,14,6,0,18,0,5,1,5,2,2
287,16,2,3,10,1,5,2,4,3,4
288,15,6,0,16,0,9,1,1,3,2
289,14,0,0,3,0,0,0,0,3,4
290,8,0,1,1,2,5,1,5,3,4
291,18,1,0,16,3,7,4,4,2,2
292,13,1,1,1,0,4,2,0,3,2
293,17,3,0,3,1,8,0,2,2,0
294,1,0,0,10,1,5,1,5,2,6
295,16,6,0,1,1,5,1,5,1,4
296,18,0,0,3,1,5,3,4,3,2
297,15,1,0,0,0,0,1,8,2,4
298,9,0,0,10,1,5,1,7,1,2
299,1,0,1,10,1,5,3,0,2,6
300,15,1,1,12,0,0,0,4,3,0
301,9,0,0,0,1,5,2,11,2,2
302,17,6,0,1,2,7,0,6,1,2
303,9,0,0,12,1,0,1,8,4,6
304,9,5,1,1,0,10,1,4,5,2
305,18,5,1,13,0,0,1,6,3,2
306,7,0,0,10,1,11,1,5,2,6
307,13,5,1,10,2,14,2,8,0,4
308,16,6,1,10,2,11,0,5,2,0
309,17,6,0,3,1,0,0,4,0,4
310,7,5,0,0,2,9,0,5,3,0
311,18,1,0,16,1,0,3,4,0,2
312,2,2,0,1,1,14,1,8,1,2
313,12,6,0,13,0,8,4,4,2,2
314,18,0,0,4,1,0,4,5,2,4
315,23,2,0,3,1,7,0,4,2,4
316,17,5,0,13,0,6,0,8,3,6
317,9,5,0,11,1,0,0,4,1,2
318,10,3,1,16,1,14,0,5,2,2
319,16,4,0,1,0,14,0,5,2,4
320,17,4,0,10,0,0,1,8,2,6
321,19,0,1,3,2,9,4,4,1,2
322,8,6,0,11,1,5,0,4,3,4
323,17,0,1,10,2,11,2,8,4,2
324,16,6,0,11,1,0,1,4,0,4
325,18,6,3,9,1,0,0,0,1,4
326,17,6,0,10,1,0,0,5,2,6
327,16,1,1,0,1,5,0,5,2,0
328,6,6,0,1,1,4,4,4,1,6
329,9,0,0,4,1,0,1,7,1,2
330,21,1,0,0,1,5,3,9,3,4
331,9,5,3,11,1,7,0,8,2,0
332,16,5,0,2,0,0,2,6,1,4
333,14,1,0,3,1,4,0,4,1,3
334,18,4,0,0,0,0,0,2,4,4
335,15,6,0,1,1,7,1,8,0,6
336,7,4,0,1,1,7,4,4,3,2
337,21,4,0,9,1,14,0,5,1,4
338,20,4,0,3,1,0,1,5,0,2
339,18,4,0,12,1,12,1,4,0,2
340,17,1,0,9,3,10,1,7,2,2
341,14,6,0,5,1,11,1,0,2,2
342,17,2,0,1,1,15,1,5,2,2
343,9,0,0,10,1,5,1,4,4,6
344,8,4,1,0,1,10,1,5,1,1
345,19,0,4,1,2,0,1,4,2,2
346,12,1,0,12,1,0,0,8,3,2
347,20,0,4,12,2,5,0,11,1,4
